id;name;bank_number;agency_number;last_operation_duration;mean_operation_duration;balance;opening_day;last_operation_date;active;account_type;attachment;attachment_content_type;description
1;mobile Fish;77969;59865;59685;15601;44583;2019-05-02T16:29:14;2019-05-02T17:49:54;false;CHECKING;4368697073;image/png;4d6f6e6579204d61726b6574204163636f756e74
2;Albania web-readiness;29122;52477;61185;39986;13949;2019-05-02T19:06:40;2019-05-02T13:13:11;true;CHECKING;43616e796f6e20484444;image/png;5461626c6520536d616c6c2046726f7a656e20536175736167657320506c616e6e6572
3;envisioneer Music Public-key;24102;44015;68326;12203;60999;2019-05-02T08:20:49;2019-05-02T00:14:05;false;CHECKING;686172647761726520436f7374612052696361204d61796f747465;image/png;496e647573747269616c
4;connect Markets Chief;59789;72727;92187;32654;8849;2019-05-02T06:32:26;2019-05-02T15:31:39;true;CHECKING;5370656369616c69737420486f6d65204c6f616e204163636f756e74;image/png;506c6173746963
5;Car Industrial deliverables;39488;19871;29348;552;1407;2019-05-02T00:39:37;2019-05-02T15:27:32;true;CHECKING;496e766573746d656e74204163636f756e7420617263686976652046616e74617374696320506c617374696320436869636b656e;image/png;7061796d656e74
6;withdrawal COM;47221;38292;11959;97171;71324;2019-05-01T23:51:27;2019-05-02T01:58:21;true;CHECKING;536d616c6c20706172746e65727368697073;image/png;4f7574646f6f7273
7;Harbor Montana;69551;90756;13933;24929;60441;2019-05-02T10:22:55;2019-05-02T07:16:30;true;CHECKING;53616c616420576562207669727475616c;image/png;526566696e65642053717561726573
8;maroon;89255;88328;53934;32434;80744;2019-05-02T17:18:04;2019-05-01T22:43:31;false;CHECKING;4a6577656c6572792063757474696e672d65646765;image/png;47616d6573
9;Iraq Bedfordshire;69243;11986;26941;33761;24412;2019-05-01T21:36:06;2019-05-02T16:11:32;false;CHECKING;4275636b696e6768616d7368697265206361706162696c697479207a65726f20746f6c6572616e6365;image/png;6d697373696f6e2d637269746963616c
10;Berkshire Small Plastic Pants Investor;23956;68070;14489;53093;48945;2019-05-02T09:29:04;2019-05-01T20:34:33;true;CHECKING;52652d636f6e7465787475616c697a6564;image/png;7765622d656e61626c656420696e766f696365207769746864726177616c
